Age,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
87,0.0474,12.6852,0.1266,8.547,9.429,9.985,10.289,10.778,11.12,11.645,12.685,13.814,14.458,14.91,15.607,16.074,16.995,18.691
88,0.0457,12.7328,0.12651,8.583,9.467,10.024,10.331,10.82,11.164,11.689,12.734,13.865,14.511,14.965,15.664,16.133,17.057,18.759
89,0.044,12.78,0.12641,8.618,9.506,10.064,10.371,10.862,11.206,11.733,12.78,13.916,14.564,15.018,15.719,16.191,17.117,18.825
90,0.0424,12.8267,0.12631,8.653,9.544,10.102,10.41,10.904,11.248,11.777,12.826,13.966,14.614,15.073,15.774,16.246,17.176,18.891
91,0.0407,12.8735,0.12622,8.688,9.581,10.141,10.45,10.946,11.29,11.821,12.873,14.015,14.667,15.126,15.829,16.303,17.238,18.958
92,0.0391,12.9195,0.12613,8.724,9.619,10.179,10.49,10.986,11.332,11.865,12.919,14.065,14.718,15.179,15.884,16.361,17.295,19.021
93,0.0375,12.9654,0.12604,8.757,9.654,10.218,10.529,11.025,11.374,11.907,12.965,14.114,14.771,15.232,15.939,16.416,17.355,19.085
94,0.0358,13.011,0.12595,8.792,9.692,10.256,10.569,11.067,11.416,11.949,13.012,14.162,14.822,15.282,15.995,16.473,17.414,19.149
95,0.0342,13.0564,0.12586,8.827,9.729,10.293,10.606,11.107,11.457,11.993,13.056,14.211,14.872,15.335,16.047,16.528,17.472,19.213
96,0.0327,13.1014,0.12577,8.86,9.764,10.333,10.646,11.147,11.497,12.035,13.102,14.26,14.921,15.386,16.1,16.583,17.529,19.277
97,0.0311,13.1459,0.12569,8.893,9.8,10.368,10.684,11.186,11.537,12.077,13.146,14.308,14.972,15.437,16.155,16.638,17.588,19.341
98,0.0295,13.1905,0.12561,8.927,9.835,10.406,10.721,11.226,11.576,12.117,13.19,14.354,15.02,15.487,16.208,16.691,17.646,19.403
99,0.0279,13.2346,0.12553,8.96,9.87,10.443,10.759,11.263,11.618,12.158,13.234,14.403,15.071,15.538,16.259,16.746,17.701,19.467
100,0.0264,13.2782,0.12545,8.993,9.905,10.481,10.796,11.303,11.656,12.2,13.278,14.449,15.119,15.589,16.312,16.799,17.758,19.529
101,0.0249,13.3217,0.12537,9.026,9.941,10.516,10.834,11.341,11.696,12.24,13.323,14.495,15.168,15.64,16.365,16.852,17.813,19.588
102,0.0233,13.3649,0.12529,9.059,9.976,10.551,10.871,11.378,11.735,12.28,13.364,14.542,15.214,15.688,16.416,16.905,17.871,19.65
103,0.0218,13.4079,0.12522,9.09,10.011,10.589,10.906,11.418,11.773,12.322,13.409,14.588,15.263,15.737,16.466,16.958,17.926,19.712
104,0.0203,13.4504,0.12514,9.123,10.044,10.624,10.944,11.455,11.812,12.361,13.45,14.634,15.311,15.785,16.517,17.011,17.981,19.771
